,title,link,host,duedate,image,description,tags
0,장애학생지원센터 서포터즈 모해 10기,https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=a88b21b476301126e2d5d0067cbed552&paginationInfo.currentPageNo=1#,장애학생지원센터,9/1/2020,https://kuchive.korea.ac.kr/comm/cmfile/image.do?encSvrFileNm=63b92ff33a635becef20e5355275b5262751363a96479c6c641fce799d7e99943f68312721827a741eba9013bb8d5cb246b3f446b8c028c408b8a41c2073db08,장애학생지원센터 서포터즈 모해 10기,['봉사']
1,2020년 2학기 장애학생도우미,https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=632f9fff404b78eee720383ecc3dca33&paginationInfo.currentPageNo=1,장애학생지원센터,10/30/2020,https://kuchive.korea.ac.kr/common/cmnFile/thumbnail.do?encSvrFileNm=2e436f5c9c50a8978ea2e245067ef514522f08fac2ff3be7a9d7e2ddc78d3d5458098282bb4be2ef0c65b25a46f8c80574eb82f44466143a3ac3b9b459060776&width=170&height=120,"장애학생지원센터에서는 다음과 같이 2020학년도 1학기 장애학생 도우미를 모집합니다. 관심있는 학생분들의 많은 지원 바랍니다.1. 모집인원: 00명2. 신청자격 - 본교 대학(대학원)생- 직전 학기 성적 C이상(F포함)- 장애학생 수업과 동일한 수업을 수강하는 학생- 장애학생 수업과 동일한 수업을 수강하지 않더라도 도우미로 활동하고자 하는 학생* 타 부서 근로(교내근로, 국가근로 등) 와 이중 신청 불가, 재외국민 신청 불가* 소득분위 6분위 이상 학생도 신청 가능 3. 모집 시간표: 첨부파일 참조 *목록은 지속적으로 업데이트됩니다. 업데이트사항 :신규 요청 과목 및 시간 추가. 매칭이 완료된 과목 및 시간 목록서 회색처리함) * 동일 과목명일경우 분반을 잘 확인 후 지원 바랍니다.4. 도우미 역할(업무) 1) 필기도우미  - 장애학생의 수업과 동일한 수업을 수강(청강 가능)하며 성실하게 강의내용 필기(입력) 2) 스크립트 도우미  - 자막ai 프로그램을 통해 1차 생성된 자막을 강의 영상을 보며 오역본 수정하여 스크립트를 제작 3) 이동 및 생활 도우미 - 이동 및 생활에 있어 도움을 필요로 하는 장애학생을 도움5. 지원방법 1) 신청기간  2020.08.07~매칭시 2) 신청방법 - 도우미 신청서(첨부파일) 및 시간표 이미지 파일을 첨부하여 쿠카이브로 신청6. 선발절차 - 동성 매칭, 동일 전공, 동일 수업 수강 등을 고려하여 선발 - 선발된 학생에 한하여 개별통지 후 오리엔테이션 시행(온라인 진행) 7. 선발 혜택-재학생: 장학재단 근로장학금으로 지급 (시급 9,000원)-휴학생: 인건비로 지급(시급 9,000원). 단, 소득세를 제하고 지급- 활동 후 활동 시간에 대한 확인서 발급",['봉사']
2,인문학특강(영화이야기/당신이 영화를 보는 이유는… “Stupid!”),https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=0951840e1d176788ff56111754734c8c&paginationInfo.currentPageNo=1,공학교육혁신센터,9/7/2020,https://kuchive.korea.ac.kr/common/cmnFile/thumbnail.do?encSvrFileNm=1bed824c9fcc7d9208551ae5db9d2043a731ee1c696208c09a90d75845c6992b5556fe35cdb609f5d062c1285b65c96c760b5d6b3d76a8d14eede3f064630dc0&width=170&height=120,고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 당신이 영화를 보는 이유는… “Stupid!”,"['예술','사회']"
3,인문학특강(영화이야기/미국의 최고 국립대를 구글링하는 ‘무식한 공대생’을 위한 영화 5),https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=e263ac978755b15df6ef6e8eef095c86&paginationInfo.currentPageNo=1,공학교육혁신센터,9/14/2020,https://kuchive.korea.ac.kr/common/cmnFile/thumbnail.do?encSvrFileNm=1bed824c9fcc7d9208551ae5db9d2043a731ee1c696208c09a90d75845c6992b5556fe35cdb609f5d062c1285b65c96c760b5d6b3d76a8d14eede3f064630dc0&width=170&height=120,고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 미국의 최고 국립대를 구글링하는 ‘무식한 공대생’을 위한 영화 5,"['예술','IT']"
4,인문학특강(영화이야기/영화를 ‘풍부하게’ 보는 Tip 5),https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=4e03169b9b299da4626ed2622041a94c&paginationInfo.currentPageNo=1#,공학교육혁신센터,9/21/2020,https://kuchive.korea.ac.kr/common/cmnFile/thumbnail.do?encSvrFileNm=1bed824c9fcc7d9208551ae5db9d2043a731ee1c696208c09a90d75845c6992b5556fe35cdb609f5d062c1285b65c96c760b5d6b3d76a8d14eede3f064630dc0&width=170&height=120,고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 영화를 ‘풍부하게’ 보는 Tip 5,['예술']
5,"인문학특강(건축이야기/한국의 건축, 그 전통성과 현대성)",https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=56f0daa49890c6c2f8ba82b7627d006c&paginationInfo.currentPageNo=1,공학교육혁신센터,10/12/2020,https://kuchive.korea.ac.kr/common/cmnFile/thumbnail.do?encSvrFileNm=1bed824c9fcc7d9208551ae5db9d2043a731ee1c696208c09a90d75845c6992b5556fe35cdb609f5d062c1285b65c96c760b5d6b3d76a8d14eede3f064630dc0&width=170&height=120,"고대인들을 다학제적융합인재로 성장시키기위한 인문학 교육 특강- 강연 제목 : 한국의 건축, 그 전통성과 현대성",['예술']
6,[진리장학 프로그램-나눔과 기부 봉사·교육 프로그램] 학생 기부 메신저 7기,https://kuchive.korea.ac.kr/ptfol/imng/icmpNsbjtPgm/5a2da4784090946376d0733cab816f04/findIcmpNsbjtPgmInfo.do?encSddpbSeq=2cab3459aa630066afdc31eb106fbf0a&paginationInfo.currentPageNo=1,장애학생지원센터,09/01/2020,https://kuchive.korea.ac.kr/comm/cmfile/image.do?encSvrFileNm=63b92ff33a635becef20e5355275b5262751363a96479c6c641fce799d7e99943f68312721827a741eba9013bb8d5cb246b3f446b8c028c408b8a41c2073db08,"기부로 인한 고려대 발전 현황을 홍보 콘텐츠로 제작하여 기부자들에게 매월 문자 웹진으로 발송.

나눔과 기부에 대한 교육 수강.

기부자 행사에서 취재 및 예우 활동 수행.","['봉사','예술']"
